date,close
2016-06-01,26
2016-06-02,37
2016-06-03,43
2016-06-04,96
2016-06-05,56
2016-06-06,98
2016-06-07,49
2016-06-08,85
2016-06-09,90
2016-06-10,43
2016-06-11,86
2016-06-12,59
2016-06-13,97
2016-06-14,56
2016-06-15,78
2016-06-16,57
2016-06-17,54
2016-06-18,113
2016-06-19,36
2016-06-20,68
2016-06-21,78
2016-06-22,73
2016-06-23,129
2016-06-24,132
2016-06-25,93
2016-06-26,140
2016-06-27,201
2016-06-28,50
2016-06-29,70
2016-06-30,68
2016-07-01,3
2016-07-08,18
2016-07-09,24
2016-07-10,88
2016-07-11,17
2016-07-12,51
2016-07-13,34
2016-07-14,104
2016-07-15,48
2016-07-16,89
2016-07-17,18
2016-07-18,62
2016-07-19,31
2016-07-20,38
2016-07-21,52
2016-07-22,63
2016-07-23,148
2016-07-24,42
2016-07-25,38
2016-07-26,97
2016-07-27,23
2016-07-28,49
2016-07-29,38
2016-07-30,128
2016-07-31,61
2016-08-01,25
2016-08-02,50
2016-08-03,37
2016-08-04,50
2016-08-05,15
2016-08-06,21
2016-08-07,43
2016-08-08,7
2016-08-09,19
2016-08-10,63
2016-08-11,45
2016-08-12,28
2016-08-13,83
2016-08-14,65
2016-08-15,56
2016-08-16,80
2016-08-17,49
2016-08-18,69
2016-08-19,55
2016-08-20,30
2016-08-21,29
2016-08-22,54
2016-08-23,49
2016-08-24,26
2016-08-25,30
2016-08-26,66
2016-08-27,38
2016-08-28,16
2016-08-29,23
2016-08-30,44
2016-08-31,28
